PartyCode,DateTime,Cluster,record_count
34020,200403,1,2
34020,200403,2,18
34020,200403,3,2
34020,200403,4,5
34020,200403,5,7
34020,200403,6,3
34020,200403,7,1
34020,200709,0,1
34020,200709,1,1
34020,200709,2,7
34020,200709,5,3
34020,200709,6,3
34020,200709,7,1
34020,200910,2,7
34020,200910,4,1
34020,200910,5,7
34020,200910,6,2
34020,200910,7,3
34020,201205,0,10
34020,201205,1,5
34020,201205,2,50
34020,201205,3,8
34020,201205,4,10
34020,201205,5,44
34020,201205,6,13
34020,201205,7,27
34210,200403,1,3
34210,200403,2,10
34210,200403,4,3
34210,200403,5,9
34210,200403,6,6
34210,200403,7,3
34210,200709,0,7
34210,200709,2,11
34210,200709,3,17
34210,200709,5,2
34210,200709,7,3
34210,200910,2,7
34210,200910,4,1
34210,200910,5,10
34210,200910,6,2
34210,200910,7,1
34210,201205,0,7
34210,201205,1,4
34210,201205,2,50
34210,201205,3,1
34210,201205,4,12
34210,201205,5,90
34210,201205,6,7
34210,201205,7,18
34210,201206,0,1
34210,201206,2,25
34210,201206,4,4
34210,201206,5,14
34210,201206,6,1
34210,201206,7,10
34210,201501,2,12
34210,201501,4,1
34210,201501,5,6
34210,201501,6,2
34210,201501,7,1
34210,201509,0,11
34210,201509,2,5
34210,201509,4,2
34210,201509,5,6
34210,201509,7,9
34210,201907,0,4
34210,201907,1,3
34210,201907,2,18
34210,201907,3,5
34210,201907,4,5
34210,201907,5,14
34210,201907,6,3
34210,201907,7,8
34211,199609,0,1
34211,199609,1,3
34211,199609,2,9
34211,199609,4,10
34211,199609,5,8
34211,199609,6,2
34211,199609,7,4
34212,201206,0,18
34212,201206,1,38
34212,201206,2,80
34212,201206,3,26
34212,201206,4,84
34212,201206,5,73
34212,201206,6,38
34212,201206,7,56
34212,201501,0,5
34212,201501,1,11
34212,201501,2,9
34212,201501,3,1
34212,201501,4,11
34212,201501,5,1
34212,201501,7,12
34212,201509,0,53
34212,201509,1,76
34212,201509,2,62
34212,201509,3,32
34212,201509,4,164
34212,201509,5,70
34212,201509,6,36
34212,201509,7,88
34212,201907,0,2
34212,201907,7,2
34213,201205,0,36
34213,201205,1,66
34213,201205,2,68
34213,201205,3,35
34213,201205,4,111
34213,201205,5,56
34213,201205,6,49
34213,201205,7,83
34213,201206,0,37
34213,201206,1,63
34213,201206,2,72
34213,201206,3,32
34213,201206,4,119
34213,201206,5,55
34213,201206,6,43
34213,201206,7,88
34214,201509,1,3
34214,201509,2,14
34214,201509,4,6
34214,201509,5,12
34214,201509,6,3
34214,201509,7,9
34215,201907,0,19
34215,201907,1,2
34215,201907,2,40
34215,201907,3,4
34215,201907,4,9
34215,201907,5,29
34215,201907,6,4
34215,201907,7,18
34313,200403,0,245
34313,200403,1,315
34313,200403,2,30
34313,200403,3,68
34313,200403,4,223
34313,200403,5,23
34313,200403,6,88
34313,200403,7,74
34313,200709,0,53
34313,200709,1,134
34313,200709,2,30
34313,200709,3,99
34313,200709,4,162
34313,200709,5,38
34313,200709,6,77
34313,200709,7,65
34313,200910,0,24
34313,200910,1,77
34313,200910,2,25
34313,200910,3,47
34313,200910,4,106
34313,200910,5,2
34313,200910,6,53
34313,200910,7,37
34313,201205,0,35
34313,201205,1,15
34313,201205,2,21
34313,201205,3,4
34313,201205,4,36
34313,201205,5,15
34313,201205,6,7
34313,201205,7,46
34313,201206,0,5
34313,201206,2,4
34313,201206,4,3
34313,201206,5,5
34313,201206,6,1
34313,201206,7,2
34313,201501,0,5
34313,201501,1,39
34313,201501,2,8
34313,201501,3,21
34313,201501,4,31
34313,201501,5,4
34313,201501,6,22
34313,201501,7,16
34313,201509,0,8
34313,201509,1,30
34313,201509,2,1
34313,201509,3,2
34313,201509,4,10
34313,201509,6,2
34313,201509,7,18
34315,201907,0,14
34315,201907,1,7
34315,201907,2,2
34315,201907,3,9
34315,201907,4,11
34315,201907,5,2
34315,201907,6,5
34315,201907,7,7
34340,201501,0,20
34340,201501,1,27
34340,201501,2,56
34340,201501,3,21
34340,201501,4,76
34340,201501,5,24
34340,201501,6,36
34340,201501,7,49
34410,201509,0,42
34410,201509,1,18
34410,201509,2,75
34410,201509,3,13
34410,201509,4,27
34410,201509,5,93
34410,201509,6,28
34410,201509,7,48
34511,200403,0,73
34511,200403,1,117
34511,200403,2,67
34511,200403,3,103
34511,200403,4,182
34511,200403,5,221
34511,200403,6,99
34511,200403,7,73
34511,200709,0,81
34511,200709,1,45
34511,200709,2,1
34511,200709,3,21
34511,200709,4,30
34511,200709,5,13
34511,200709,6,7
34511,200709,7,11
34511,200910,0,136
34511,200910,1,34
34511,200910,2,12
34511,200910,3,12
34511,200910,4,28
34511,200910,5,15
34511,200910,6,9
34511,200910,7,17
34511,201205,0,13
34511,201205,1,1
34511,201205,2,2
34511,201205,4,4
34511,201205,5,3
34511,201205,7,4
34511,201206,0,13
34511,201206,1,1
34511,201206,2,2
34511,201206,4,4
34511,201206,5,3
34511,201206,7,4
34511,201501,0,34
34511,201501,1,7
34511,201501,5,4
34511,201501,6,3
34511,201501,7,7
34511,201509,0,24
34511,201509,1,10
34511,201509,2,20
34511,201509,3,1
34511,201509,4,14
34511,201509,5,30
34511,201509,6,22
34511,201509,7,16
34511,201907,0,17
34511,201907,1,6
34511,201907,2,3
34511,201907,3,10
34511,201907,4,4
34511,201907,5,1
34511,201907,6,4
34511,201907,7,6
34710,200709,0,12
34710,200709,1,25
34710,200709,2,88
34710,200709,3,27
34710,200709,4,62
34710,200709,5,47
34710,200709,6,56
34710,200709,7,35
34710,201205,0,10
34710,201205,1,15
34710,201205,2,25
34710,201205,3,13
34710,201205,4,40
34710,201205,5,10
34710,201205,6,26
34710,201205,7,26
34711,201907,0,161
34711,201907,1,110
34711,201907,2,69
34711,201907,3,66
34711,201907,4,127
34711,201907,5,96
34711,201907,6,29
34711,201907,7,95
34720,201205,0,7
34720,201205,1,1
34720,201205,2,9
34720,201205,3,1
34720,201205,4,8
34720,201205,5,23
34720,201205,6,10
34720,201205,7,1
34720,201206,0,8
34720,201206,1,1
34720,201206,2,14
34720,201206,3,1
34720,201206,4,5
34720,201206,5,20
34720,201206,6,9
34720,201206,7,2
34720,201501,0,7
34720,201501,1,1
34720,201501,2,15
34720,201501,3,1
34720,201501,4,2
34720,201501,5,19
34720,201501,6,1
34720,201501,7,6
34720,201907,0,12
34720,201907,1,6
34720,201907,2,29
34720,201907,3,7
34720,201907,4,28
34720,201907,5,28
34720,201907,6,7
34720,201907,7,14
34730,201205,0,1
34730,201205,2,12
34730,201205,3,1
34730,201205,4,1
34730,201205,5,15
34730,201205,6,2
34730,201205,7,1
34730,201206,0,2
34730,201206,2,9
34730,201206,4,2
34730,201206,5,14
34730,201206,6,3
34730,201206,7,2
34730,201501,2,4
34730,201501,4,1
34730,201501,6,2
34730,201501,7,2
41113,199809,0,2
41113,199809,1,1
41113,199809,2,4
41113,199809,3,1
41113,199809,4,1
41113,199809,5,2
41113,199809,7,4
41113,200209,0,26
41113,200209,1,69
41113,200209,2,68
41113,200209,3,74
41113,200209,4,78
41113,200209,5,15
41113,200209,6,53
41113,200209,7,89
41113,200509,0,21
41113,200509,1,80
41113,200509,2,108
41113,200509,3,91
41113,200509,4,56
41113,200509,5,61
41113,200509,6,75
41113,200509,7,91
41113,200909,0,58
41113,200909,1,113
41113,200909,2,190
41113,200909,3,139
41113,200909,4,100
41113,200909,5,130
41113,200909,6,120
41113,200909,7,228
41113,201309,0,100
41113,201309,1,198
41113,201309,2,304
41113,201309,3,220
41113,201309,4,199
41113,201309,5,195
41113,201309,6,177
41113,201309,7,325
41113,201709,0,54
41113,201709,1,143
41113,201709,2,243
41113,201709,3,167
41113,201709,4,115
41113,201709,5,138
41113,201709,6,206
41113,201709,7,218
41113,202109,0,53
41113,202109,1,194
41113,202109,2,171
41113,202109,3,189
41113,202109,4,216
41113,202109,5,82
41113,202109,6,147
41113,202109,7,178
41221,199809,0,4
41221,199809,2,2
41221,199809,3,1
41221,199809,4,28
41221,199809,5,2
41221,199809,6,2
41221,199809,7,5
41221,200209,0,16
41221,200209,1,24
41221,200209,2,53
41221,200209,3,27
41221,200209,4,30
41221,200209,5,26
41221,200209,6,28
41221,200209,7,41
41222,200509,0,12
41222,200509,1,10
41222,200509,2,40
41222,200509,3,12
41222,200509,4,24
41222,200509,5,18
41222,200509,6,19
41222,200509,7,43
41223,200909,0,18
41223,200909,1,8
41223,200909,2,50
41223,200909,3,17
41223,200909,4,8
41223,200909,5,73
41223,200909,6,31
41223,200909,7,46
41223,201309,0,55
41223,201309,1,55
41223,201309,2,172
41223,201309,3,72
41223,201309,4,71
41223,201309,5,115
41223,201309,6,55
41223,201309,7,150
41223,201709,0,102
41223,201709,1,63
41223,201709,2,303
41223,201709,3,150
41223,201709,4,112
41223,201709,5,202
41223,201709,6,100
41223,201709,7,201
41223,202109,0,129
41223,202109,1,67
41223,202109,2,364
41223,202109,3,169
41223,202109,4,136
41223,202109,5,211
41223,202109,6,122
41223,202109,7,268
41320,199809,0,1
41320,199809,1,4
41320,199809,3,3
41320,199809,5,1
41320,199809,6,2
41320,199809,7,2
41320,200209,0,50
41320,200209,1,138
41320,200209,2,34
41320,200209,3,61
41320,200209,4,54
41320,200209,5,10
41320,200209,6,76
41320,200209,7,50
41320,200509,0,27
41320,200509,1,76
41320,200509,2,31
41320,200509,3,28
41320,200509,4,16
41320,200509,5,17
41320,200509,6,62
41320,200509,7,34
41320,200909,0,41
41320,200909,1,149
41320,200909,2,65
41320,200909,3,105
41320,200909,4,83
41320,200909,5,21
41320,200909,6,116
41320,200909,7,98
41320,201309,0,49
41320,201309,1,184
41320,201309,2,75
41320,201309,3,104
41320,201309,4,111
41320,201309,5,64
41320,201309,6,130
41320,201309,7,130
41320,201709,0,37
41320,201709,1,167
41320,201709,2,80
41320,201709,3,143
41320,201709,4,119
41320,201709,5,24
41320,201709,6,122
41320,201709,7,101
41320,202109,0,30
41320,202109,1,91
41320,202109,2,52
41320,202109,3,89
41320,202109,4,283
41320,202109,5,19
41320,202109,6,89
41320,202109,7,70
41420,199809,0,7
41420,199809,1,8
41420,199809,2,13
41420,199809,3,9
41420,199809,4,5
41420,199809,5,3
41420,199809,6,4
41420,199809,7,31
41420,200209,0,29
41420,200209,1,70
41420,200209,2,120
41420,200209,3,103
41420,200209,4,75
41420,200209,5,62
41420,200209,6,74
41420,200209,7,111
41420,200509,0,35
41420,200509,1,54
41420,200509,2,79
41420,200509,3,37
41420,200509,4,51
41420,200509,5,46
41420,200509,6,62
41420,200509,7,87
41420,200909,0,28
41420,200909,1,61
41420,200909,2,121
41420,200909,3,76
41420,200909,4,102
41420,200909,5,49
41420,200909,6,122
41420,200909,7,138
41420,201309,0,29
41420,201309,1,179
41420,201309,2,108
41420,201309,3,76
41420,201309,4,88
41420,201309,5,21
41420,201309,6,151
41420,201309,7,139
41420,201709,0,40
41420,201709,1,68
41420,201709,2,123
41420,201709,3,81
41420,201709,4,53
41420,201709,5,63
41420,201709,6,87
41420,201709,7,143
41420,202109,0,27
41420,202109,1,90
41420,202109,2,140
41420,202109,3,72
41420,202109,4,100
41420,202109,5,20
41420,202109,6,102
41420,202109,7,141
41521,199809,1,2
41521,199809,2,2
41521,199809,7,1
41521,200209,0,22
41521,200209,1,60
41521,200209,2,60
41521,200209,3,29
41521,200209,4,54
41521,200209,5,30
41521,200209,6,68
41521,200209,7,79
41521,200509,0,39
41521,200509,1,40
41521,200509,2,22
41521,200509,3,15
41521,200509,4,20
41521,200509,5,35
41521,200509,6,20
41521,200509,7,49
41521,200909,0,19
41521,200909,1,154
41521,200909,2,54
41521,200909,3,81
41521,200909,4,91
41521,200909,5,12
41521,200909,6,125
41521,200909,7,57
41521,201309,0,51
41521,201309,1,269
41521,201309,2,54
41521,201309,3,138
41521,201309,4,84
41521,201309,5,24
41521,201309,6,143
41521,201309,7,70
41521,201709,0,62
41521,201709,1,116
41521,201709,2,36
41521,201709,3,44
41521,201709,4,40
41521,201709,5,16
41521,201709,6,79
41521,201709,7,37
41521,202109,0,31
41521,202109,1,222
41521,202109,2,89
41521,202109,3,120
41521,202109,4,154
41521,202109,5,31
41521,202109,6,119
41521,202109,7,95
41912,202109,0,15
41912,202109,1,69
41912,202109,2,59
41912,202109,3,49
41912,202109,4,84
41912,202109,5,45
41912,202109,6,66
41912,202109,7,54
41952,201309,0,23
41952,201309,1,26
41952,201309,2,210
41952,201309,3,56
41952,201309,4,105
41952,201309,5,33
41952,201309,6,71
41952,201309,7,59
41953,201309,2,9
41953,201309,3,5
41953,201309,4,3
41953,201309,6,3
41953,201309,7,5
41953,201709,0,22
41953,201709,1,6
41953,201709,2,126
41953,201709,3,18
41953,201709,4,23
41953,201709,5,55
41953,201709,6,14
41953,201709,7,39
41953,202109,0,23
41953,202109,1,18
41953,202109,2,175
41953,202109,3,33
41953,202109,4,44
41953,202109,5,67
41953,202109,6,40
41953,202109,7,67
51110,201505,0,138
51110,201505,1,19
51110,201505,2,82
51110,201505,3,57
51110,201505,4,21
51110,201505,5,102
51110,201505,6,32
51110,201505,7,161
51110,201706,0,6
51110,201706,1,5
51110,201706,2,5
51110,201706,3,13
51110,201706,4,1
51110,201706,6,10
51110,201706,7,7
51110,201912,0,67
51110,201912,1,34
51110,201912,2,45
51110,201912,3,31
51110,201912,4,22
51110,201912,5,19
51110,201912,6,20
51110,201912,7,88
51210,201505,0,4
51210,201505,1,9
51210,201505,2,11
51210,201505,3,10
51210,201505,4,26
51210,201505,5,8
51210,201505,6,14
51210,201505,7,12
51210,201706,0,3
51210,201706,2,9
51210,201706,3,2
51210,201706,4,6
51210,201706,5,12
51210,201706,6,5
51210,201706,7,5
51210,201912,0,1
51210,201912,1,1
51210,201912,2,14
51210,201912,3,1
51210,201912,4,9
51210,201912,5,4
51210,201912,6,6
51320,196410,0,14
51320,196410,1,12
51320,196410,2,21
51320,196410,3,6
51320,196410,4,17
51320,196410,5,38
51320,196410,6,3
51320,196410,7,28
51320,196603,0,27
51320,196603,1,27
51320,196603,2,22
51320,196603,3,13
51320,196603,4,34
51320,196603,5,36
51320,196603,6,7
51320,196603,7,33
51320,197006,0,43
51320,197006,1,31
51320,197006,2,16
51320,197006,3,7
51320,197006,4,27
51320,197006,5,25
51320,197006,6,14
51320,197006,7,24
51320,197402,0,8
51320,197402,1,5
51320,197402,2,10
51320,197402,3,4
51320,197402,4,5
51320,197402,5,12
51320,197402,6,2
51320,197402,7,16
51320,197410,0,23
51320,197410,1,6
51320,197410,2,20
51320,197410,3,8
51320,197410,4,10
51320,197410,5,13
51320,197410,6,15
51320,197410,7,27
51320,197905,0,25
51320,197905,1,19
51320,197905,2,21
51320,197905,3,10
51320,197905,4,21
51320,197905,5,13
51320,197905,6,14
51320,197905,7,38
51320,198306,0,43
51320,198306,1,44
51320,198306,2,70
51320,198306,3,39
51320,198306,4,48
51320,198306,5,49
51320,198306,6,19
51320,198306,7,66
51320,198706,0,17
51320,198706,1,17
51320,198706,2,25
51320,198706,3,18
51320,198706,4,14
51320,198706,5,17
51320,198706,6,15
51320,198706,7,28
51320,199204,0,37
51320,199204,1,23
51320,199204,2,20
51320,199204,3,40
51320,199204,4,22
51320,199204,5,12
51320,199204,6,14
51320,199204,7,53
51320,199705,0,31
51320,199705,1,30
51320,199705,2,58
51320,199705,3,34
51320,199705,4,25
51320,199705,5,48
51320,199705,6,30
51320,199705,7,47
51320,200106,0,182
51320,200106,1,85
51320,200106,2,25
51320,200106,3,73
51320,200106,4,40
51320,200106,5,32
51320,200106,6,36
51320,200106,7,68
51320,200505,0,111
51320,200505,1,55
51320,200505,2,29
51320,200505,3,65
51320,200505,4,21
51320,200505,5,17
51320,200505,6,29
51320,200505,7,42
51320,201505,0,57
51320,201505,1,24
51320,201505,2,33
51320,201505,3,45
51320,201505,4,19
51320,201505,5,33
51320,201505,6,28
51320,201505,7,50
51320,201706,0,55
51320,201706,1,29
51320,201706,2,47
51320,201706,3,44
51320,201706,4,28
51320,201706,5,57
51320,201706,6,22
51320,201706,7,75
51320,201912,0,63
51320,201912,1,20
51320,201912,2,42
51320,201912,3,42
51320,201912,4,22
51320,201912,5,76
51320,201912,6,19
51320,201912,7,91
51330,198306,0,24
51330,198306,1,17
51330,198306,2,26
51330,198306,3,11
51330,198306,4,14
51330,198306,5,29
51330,198306,6,11
51330,198306,7,37
51330,198706,0,36
51330,198706,1,6
51330,198706,2,38
51330,198706,3,23
51330,198706,4,19
51330,198706,5,40
51330,198706,6,15
51330,198706,7,50
51340,201505,0,13
51340,201505,1,20
51340,201505,2,13
51340,201505,3,20
51340,201505,4,10
51340,201505,5,15
51340,201505,6,20
51340,201505,7,18
51340,201912,0,10
51340,201912,1,13
51340,201912,2,24
51340,201912,3,14
51340,201912,4,12
51340,201912,5,23
51340,201912,6,11
51340,201912,7,14
51420,196410,0,12
51420,196410,1,3
51420,196410,2,10
51420,196410,3,4
51420,196410,4,9
51420,196410,5,8
51420,196410,6,1
51420,196410,7,29
51420,196603,0,6
51420,196603,1,10
51420,196603,2,18
51420,196603,3,8
51420,196603,4,8
51420,196603,5,23
51420,196603,6,6
51420,196603,7,35
51420,197006,0,7
51420,197006,1,2
51420,197006,2,3
51420,197006,4,8
51420,197006,5,15
51420,197006,6,3
51420,197006,7,22
51420,197402,0,15
51420,197402,1,3
51420,197402,2,21
51420,197402,3,6
51420,197402,4,9
51420,197402,5,28
51420,197402,6,5
51420,197402,7,32
51420,197410,0,13
51420,197410,1,3
51420,197410,2,13
51420,197410,3,1
51420,197410,4,6
51420,197410,5,20
51420,197410,6,3
51420,197410,7,29
51420,197905,0,6
51420,197905,1,10
51420,197905,2,29
51420,197905,3,6
51420,197905,4,13
51420,197905,5,16
51420,197905,6,5
51420,197905,7,27
51420,198306,0,24
51420,198306,1,18
51420,198306,2,26
51420,198306,3,11
51420,198306,4,14
51420,198306,5,29
51420,198306,6,11
51420,198306,7,37
51420,198706,0,36
51420,198706,1,6
51420,198706,2,38
51420,198706,3,23
51420,198706,4,19
51420,198706,5,40
51420,198706,6,15
51420,198706,7,49
51421,199204,0,56
51421,199204,1,38
51421,199204,2,15
51421,199204,3,44
51421,199204,4,45
51421,199204,5,29
51421,199204,6,20
51421,199204,7,64
51421,199705,0,37
51421,199705,1,32
51421,199705,2,32
51421,199705,3,53
51421,199705,4,37
51421,199705,5,18
51421,199705,6,15
51421,199705,7,52
51421,200106,0,41
51421,200106,1,24
51421,200106,2,45
51421,200106,3,58
51421,200106,4,51
51421,200106,5,46
51421,200106,6,22
51421,200106,7,88
51421,200505,0,44
51421,200505,1,9
51421,200505,2,39
51421,200505,3,29
51421,200505,4,16
51421,200505,5,48
51421,200505,6,25
51421,200505,7,60
51421,201505,0,68
51421,201505,1,54
51421,201505,2,60
51421,201505,3,81
51421,201505,4,41
51421,201505,5,16
51421,201505,6,28
51421,201505,7,95
51421,201706,0,37
51421,201706,1,30
51421,201706,2,41
51421,201706,3,52
51421,201706,4,24
51421,201706,5,28
51421,201706,6,15
51421,201706,7,58
51421,201912,0,64
51421,201912,1,20
51421,201912,2,43
51421,201912,3,61
51421,201912,4,24
51421,201912,5,51
51421,201912,6,21
51421,201912,7,66
51430,201912,0,4
51430,201912,1,13
51430,201912,2,35
51430,201912,3,7
51430,201912,4,45
51430,201912,5,18
51430,201912,6,17
51430,201912,7,28
51620,196410,0,33
51620,196410,1,31
51620,196410,2,16
51620,196410,3,12
51620,196410,4,18
51620,196410,5,6
51620,196410,6,9
51620,196410,7,17
51620,196603,0,5
51620,196603,1,23
51620,196603,2,4
51620,196603,3,12
51620,196603,4,13
51620,196603,5,9
51620,196603,6,9
51620,196603,7,18
51620,197006,0,26
51620,197006,1,20
51620,197006,2,20
51620,197006,3,16
51620,197006,4,10
